Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.155420005	0.411790013	0.155420005	0.411790013	1448.311035	12704.72266	252.8816528	0	1.027549982	420.9975891	12704.72266	1	1	-1	191	0	0
1	0.166730002	0.06233	0.166730002	0.06233	354.5036011	3065.933105	251.3215942	0	1.093520045	409.8702393	3065.933105	1	1	-1	189	0	0
1	0.178389996	-0.340629995	0.178389996	-0.340629995	1998.197754	16375.21973	244.4329376	0	1.033789992	442.4316711	16375.21973	1	1	-1	140	0	0
1	0.183339998	-0.381119996	0.183339998	-0.381119996	303.279541	2209.115967	230.5529022	0	1.071380019	407.85672	2209.115967	1	1	-1	331	0	0
1	0.19483	0.381280005	0.19483	0.381280005	2211.871582	19232.05273	251.749588	0	1.014690042	458.8431702	19232.05273	1	1	-1	190	0	0
1	0.196810007	-0.336140007	0.196810007	-0.336140007	1359.363525	11574.7002	249.1216736	0	1.005059958	459.1724854	11574.7002	1	1	-1	137	0	0
1	0.205730006	-0.390570015	0.205730006	-0.390570015	3179.087402	27064.75586	249.1109772	0	1.018630028	490.1043396	27064.75586	1	1	-1	265	0	0
1	0.214440003	0.08004	0.214440003	0.08004	1460.610229	12766.43262	252.4108582	0	1.017480016	448.4024048	12766.43262	1	1	-1	370	0	0
1	0.217570007	0.1743	0.217570007	0.1743	1288.321045	10846.13184	247.7135468	0	1.003780007	434.9188538	10846.13184	1	1	-1	309	0	0
1	0.217800006	-0.350899994	0.217800006	-0.350899994	2291.65332	20311.41406	254.1870728	0	1.025979996	470.6932373	20311.41406	1	1	-1	138	0	0
1	0.222680002	0.103670001	0.222680002	0.103670001	673.0722656	6094.95752	256.954071	0	1.038810015	399.545929	6094.95752	1	1	-1	74	0	0
1	0.223710001	0.0898	0.223710001	0.0898	1433.786987	12683.88574	254.1100311	0	1.078840017	419.2703247	12683.88574	1	1	-1	369	0	0
1	0.226339996	0.073190004	0.226339996	0.073190004	1850.268188	15474.6123	246.9003754	0	1.009909987	446.1872864	15474.6123	1	1	-1	373	0	0
1	0.230179995	0.122749999	0.230179995	0.122749999	240.7912903	1953.116821	243.2259827	0	1.052250028	387.0065918	1953.116821	1	1	-1	367	0	0
1	0.234339997	0.06188	0.234339997	0.06188	1721.096191	14238.14746	245.56073	0	1.014860034	444.7604675	14238.14746	1	1	-1	372	0	0
1	0.238780007	-0.368730009	0.238780007	-0.368730009	2191.59082	19937.98633	257.5040588	0	1.004609942	459.797821	19937.98633	1	1	-1	139	0	0
1	0.258410007	-0.287730008	0.258410007	-0.287730008	2100.522217	17337.59375	245.2760925	0	1.006639957	431.1252441	17337.59375	1	1	-1	360	0	0
1	0.259600013	0.102150001	0.259600013	0.102150001	1464.001221	12641.16699	250.8786316	0	1.01812005	439.8603821	12641.16699	1	1	-1	368	0	0
1	0.265240014	-0.166480005	0.265240014	-0.166480005	859.0852051	7352.159668	249.8235931	0	1.047979951	416.6599731	7352.159668	1	1	-1	358	0	0
1	0.269870013	0.339430004	0.269870013	0.339430004	815.9825439	6814.778809	246.8168945	0	1.057070017	413.1781006	6814.778809	1	1	-1	461	0	0
1	0.288419992	0.048409998	0.288419992	0.048409998	1730.481567	14280.22656	245.2632599	0	1.021620035	444.6315613	14280.22656	1	1	-1	371	0	0
1	0.357050002	0.177919999	0.357050002	0.177919999	102.0095978	1137.235962	285.9874573	0	1.175590038	384.8334656	1137.235962	1	1	-1	311	0	0
1	-0.456200004	0.0098	-0.456200004	0.0098	1063.309082	9065.798828	249.3185577	0	1.032930017	417.5576172	9065.798828	2	1	-1	285	0	0
1	-0.437209994	0.059209999	-0.437209994	0.059209999	365.451416	3853.800537	277.269104	0	1.030040026	392.7945251	3853.800537	2	1	-1	104	0	0
1	-0.406390011	-0.193639994	-0.406390011	-0.193639994	1504.239746	12954.61035	250.5875702	0	1.03963995	427.0791931	12954.61035	2	1	-1	437	0	0
1	-0.391559988	-0.065090001	-0.391559988	-0.065090001	730.2536621	5996.765137	244.6854706	0	1.034540057	391.1474304	5996.765137	2	1	-1	457	0	0
1	-0.381520003	-0.146990001	-0.381520003	-0.146990001	137.2046967	1441.885254	277.0208435	0	1.09070003	399.2749634	1441.885254	2	1	-1	294	0	0
1	-0.378089994	0.130590007	-0.378089994	0.130590007	1048.170654	9730.291016	260.1383972	0	1.024649978	427.3446655	9730.291016	2	1	-1	105	0	0
1	-0.361510009	-0.218620002	-0.361510009	-0.218620002	1344.692505	11706.91895	251.9058228	0	1.010229945	419.0447388	11706.91895	2	1	-1	434	0	0
1	-0.357609987	0.158749998	-0.357609987	0.158749998	1056.491211	9434.210938	255.1971436	0	1.050230026	417.3335571	9434.210938	2	1	-1	207	0	0
1	-0.356940001	-0.208419994	-0.356940001	-0.208419994	2980.369141	26015.2832	252.24823	0	1.021010041	433.2270508	26015.2832	2	1	-1	435	0	0
1	-0.318300009	-0.195040002	-0.318300009	-0.195040002	1929.973511	17297.45703	255.5930481	0	1.013779998	427.700531	17297.45703	2	1	-1	436	0	0
1	-0.302540004	-0.42129001	-0.302540004	-0.42129001	351.1353455	2954.960693	247.7221222	0	1.044549942	378.282074	2954.960693	2	1	-1	500	0	0
1	-0.29497999	0.081490003	-0.29497999	0.081490003	1200.112183	10829.20215	256.4618835	0	1.015560031	446.9150391	10829.20215	2	1	-1	216	0	0
1	-0.287939996	-0.442790002	-0.287939996	-0.442790002	792.3918457	7205.283203	257.4526978	0	1.018610001	399.6250916	7205.283203	2	1	-1	501	0	0
1	-0.270020008	-0.315079987	-0.270020008	-0.315079987	393.9401245	3506.01416	254.8354797	0	1.069630027	399.2010193	3506.01416	2	1	-1	191	0	0
1	-0.248439997	-0.326330006	-0.248439997	-0.326330006	774.0865479	6281.834961	243.219574	0	1.022230029	430.8671875	6281.834961	2	1	-1	144	0	0
1	-0.247920007	-0.471150011	-0.247920007	-0.471150011	561.1442261	4973.852539	254.219162	0	1.037889957	380.2998657	4973.852539	2	1	-1	126	0	0
1	-0.23567	-0.073530003	-0.23567	-0.073530003	486.3084717	4573.165527	261.8354187	0	1.031219959	393.4029541	4573.165527	2	1	-1	322	0	0
1	-0.234599993	0.173199996	-0.234599993	0.173199996	2358.97876	19684.75586	246.6713867	0	1.041960001	430.0500488	19684.75586	2	1	-1	418	0	0
1	-0.229699999	-0.357120007	-0.229699999	-0.357120007	1225.835083	10944.0459	255.0922852	0	1.005759954	414.2313538	10944.0459	2	1	-1	145	0	0
1	-0.227039993	0.05669	-0.227039993	0.05669	1791.070435	14922.03125	246.4509735	0	1.030369997	437.6396179	14922.03125	2	1	-1	85	0	0
