Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.10810	0.30772	0.10810	0.30772	500.00000	5000.00000	263.98825	0.00000	1.00000	432.66818	14918.46973	2	1	-1	1	0.00000	0.00000
1	0.12421	0.12762	0.12421	0.12762	500.00000	5000.00000	243.36937	0.00000	1.00000	375.00369	1204.87170	2	1	-1	1	0.00000	0.00000
1	0.12964	-0.28422	0.12964	-0.28422	500.00000	5000.00000	247.08012	0.00000	1.00000	448.93155	12892.19922	2	1	-1	1	0.00000	0.00000
1	0.13053	-0.29051	0.13053	-0.29051	500.00000	5000.00000	251.49066	0.00000	1.00000	460.25598	13635.26465	2	1	-1	1	0.00000	0.00000
1	0.13764	0.32002	0.13764	0.32002	500.00000	5000.00000	261.49942	0.00000	1.00000	438.21802	20107.16602	2	1	-1	1	0.00000	0.00000
1	0.13856	0.20579	0.13856	0.20579	500.00000	5000.00000	272.35138	0.00000	1.00000	425.66342	17370.07031	2	1	-1	1	0.00000	0.00000
1	0.14376	0.30865	0.14376	0.30865	500.00000	5000.00000	258.56552	0.00000	1.00000	451.45660	23655.06641	2	1	-1	1	0.00000	0.00000
1	0.14424	0.27957	0.14424	0.27957	500.00000	5000.00000	255.80492	0.00000	1.00000	461.40063	20516.79883	2	1	-1	1	0.00000	0.00000
1	0.14522	0.18660	0.14522	0.18660	500.00000	5000.00000	271.00958	0.00000	1.00000	424.99750	18224.31250	2	1	-1	1	0.00000	0.00000
1	0.14770	0.35371	0.14770	0.35371	500.00000	5000.00000	260.36954	0.00000	1.00000	437.96390	16658.46875	2	1	-1	1	0.00000	0.00000
1	0.14999	0.19238	0.14999	0.19238	500.00000	5000.00000	263.11087	0.00000	1.00000	435.63086	16952.17383	2	1	-1	1	0.00000	0.00000
1	0.15481	-0.28632	0.15481	-0.28632	500.00000	5000.00000	252.12837	0.00000	1.00000	458.93832	20209.17383	2	1	-1	1	0.00000	0.00000
1	0.15640	-0.15298	0.15640	-0.15298	500.00000	5000.00000	251.89728	0.00000	1.00000	409.98361	8328.09668	2	1	-1	1	0.00000	0.00000
1	0.15920	0.33715	0.15920	0.33715	500.00000	5000.00000	253.43593	0.00000	1.00000	426.16714	13032.16211	2	1	-1	1	0.00000	0.00000
1	0.16506	0.12516	0.16506	0.12516	500.00000	5000.00000	250.89360	0.00000	1.00000	397.82962	5922.21729	2	1	-1	1	0.00000	0.00000
1	0.16640	0.33050	0.16640	0.33050	500.00000	5000.00000	246.30115	0.00000	1.00000	461.69598	16537.62891	2	1	-1	1	0.00000	0.00000
1	0.16860	-0.07934	0.16860	-0.07934	500.00000	5000.00000	255.09869	0.00000	1.00000	388.39679	6812.85205	2	1	-1	1	0.00000	0.00000
1	0.16944	0.31016	0.16944	0.31016	500.00000	5000.00000	253.58144	0.00000	1.00000	469.55396	16100.59863	2	1	-1	1	0.00000	0.00000
1	0.16966	0.28404	0.16966	0.28404	500.00000	5000.00000	255.34694	0.00000	1.00000	427.81076	14106.32520	2	1	-1	1	0.00000	0.00000
